Fullname,Fullname_GR,Τitle,Party_EN,Party_EN_2,Party_GR,Region,Link_DOI
Apostolos Avdelas,Απόστολος Αβδελάς,Μember of Greek Parliament,Greek Solution,Greek Solution,Ελληνική Λύση,A' Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ABDELAS_APOSTOLOS_2203832_2021.pdf
Avramakis Eleftherios,Αβραμάκης Ελευθέριος,Μember of GreekParliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Serres,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ABRAMAKIS_ELEYTHERIOS_2070178_2021.pdf
Agathopoulou Eirini - Eleni,Αγαθοπούλου Ειρήνη - Ελένη,Μember of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kilkis,http://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/AGATHOPOYLOY_EIRINI_ELENI_2099965_2021.pdf
Adamopoulou Aggeliki,Αδαμοπούλου Αγγελική,Μember of GreeK Parliament,DiEM25,DiEM25,ΜΕΡΑ25,A' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ADAMOPOYLOY_AGGELIKI_2216225_2021.pdf
Adamou Konstantina,Αδάμου Κωνσταντίνα,Μember of Greek Parliament,DiEM25,DiEM25,ΜΕΡΑ25,B' Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ADAMOY_KONSTANTINA_2217540_2021.pdf
Athanasiou Athanasios (Nasos),Αθανασίου Αθανάσιος (Νάσος),Μember of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Eastern Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ATHANASIOY_ATHANASIOS_2104288_2021.pdf
Athanasiou Maria,Αθανασίου Μαρία,Member of Greek Parliament,Greek Solution,Greek Solution,Ελληνική Λύση,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ATHANASIOY_MARIA_1955341_2021.pdf
Athanasiou Charalampos,Αθανασίου Χαράλαμπος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Lesvos,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ATHANASIOY_CHARAL_1983780_2021.pdf
Aivatidis Ioannis,Αϊβατίδης Ιωάννης,Member of Greek Parliament,Golden Dawn,Golden Dawn,Χρυσή Αυγή,Kerkira (Corfu),https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/AIBATIDIS_IOANN_2276677_2021.pdf
Akriotis Georgios (Giorgos),Ακριώτης Γεώργιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Evoia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/AKRIOTIS_GEORGIOS_2017519_2021.pdf
Aktipis Dionisios (Dionisis),Ακτύπης Διονύσιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Zakynthos,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/AKTYPIS_DIONYSIOS_2013526_2021.pdf
Alexiadis Trifon (Trifonas),Αλεξιάδης Τρύφων,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B' Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ALEXIADIS_TRYFON_2007405_2021.pdf
Alexopoulou Christina,Αλεξοπούλου Χριστίνα,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Achaia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ALEXOPOYLOY_CHRISTINA_1997822_2021.pdf
Alexopoulou Anastasia - Aikaterini,Αλεξοπούλου Αναστασία - Αικατερίνη,Member of Greek Parliament,Greek Solution,Greek Solution,Ελληνική Λύση,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ALEXOPOYLOY_ANASTASIA_AIKATERINI_2044893_2021.pdf
Amanatidis Ioannis (Giannis),Αμανατίδης Ιωάννης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A' Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/AMANATIDIS_IOANNIS_1971700_2021.pdf
Amanatidis Georgios (Giorgos),Αμανατίδης Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Kozani,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/AMANATIDIS_GEORGIOS_2264360_2021.pdf
Amiras Georgios (Giorgos),Αμυράς Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Ioannina,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/AMYRAS_GEORGIOS_2000695_2021.pdf
Anagnostopoulou Athanasia (Sia),Αναγνωστοπούλου Αθανασία ( Σια),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Achaia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ANAGNOSTOPOYLOY_ATHANASIA_2146145_2021.pdf
Anastasiadis Savvas,Αναστασιάδης Σάββας,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B' Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ANASTASIADIS_SABBAS_2113386_2021.pdf
Andrianos Ioannis,Ανδριανός Ιωάννης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Argolida,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ANDRIANOS_IOANN_2229444_2021.pdf
Androulakis Nikolaos ( Nikos),Ανδρουλάκης Νικόλαος,Member of Greek Parliament President of PASOK,Movement of Change,Movement of Change,Κίνημα Αλλαγής,,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ANDROYLAKIS_NIKOLAOS_2052730_2021.pdf
Antoniadis Ioannis,Αντωνιάδης Ιωάννης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Florina,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ANTONIADIS_IOANNIS_2076938_2021.pdf
Apatzidi Maria,Απατζίδη Μαρία,Member oof Greek Parliament,DiEM25,DiEM25,ΜΕΡΑ 25,Eastern Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/APATZIDI_MARIA_2106342_2021.pdf
Apostolou Euaggelos,Αποστόλου Ευάγγελος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Evoia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/APOSTOLOY_EYAGGELOS_2075514_2021.pdf
Arampatzi Foteini,Αραμπατζή Φωτεινή,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Serres,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ARAMPATZI_FOTEINI_2190225_2021.pdf
Arachovitis Stavros,Αραχωβίτης Σταύρος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Lakonia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ARACHOBITIS_STAYROS_2011241_2021.pdf
Arvanitidis Georgios (Giorgos),Αρβανιτίδης Γεώργιος,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,B' Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ARBANITIDIS_GEORGIOS_2109387_2021.pdf
Arsenis Kriton - Ilias,Αρσένης Κρίτων - Ηλίας,Member of Greek Parliament,DiEM25,DiEM25,ΜΕΡΑ25,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ARSENIS_KRITON_ILIAS_2160721_2021.pdf
Asimakopoulou Sofia - Chaido,Ασημακοπούλου Σοφία - Χαϊδω,Member of Greek Parliament,Greek Solution,Greek Solution,Ελληνική Λύση,B' Pireaus,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ASIMAKOPOYLOY_SOFIA_CHAIDO_1983379_2021.pdf
Avgenakis Eleftherios,Αυγενάκης Ελευθέριος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Iraklion,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/AYGENAKIS_ELEYTHERIOS_2278551_2021.pdf
Avgeri Theodora,Αυγέρη Θεοδώρα,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B' Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/AYGERI_THEODORA_2036517_2021.pdf
Avgerinopoulou Dionisia - Theodora,Αυγερινοπούλου Διονυσία - Θεοδώρα,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Ileia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/AYGERINOPOYLOY_DIONYSIA_THEODORA_2144061_2021.pdf
Avlonitis Alexandros - Christos,Αυλωνίτης Αλέξανδρος - Χρήστος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kerkira (Corfu),https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/AYLONITIS_ALEXANDROS_2217176_2021.pdf
Avlonitou Eleni,Αυλωνίτου Ελένη,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/AYLONITOY_ELENI_2012136_2021.pdf
Ahmet Ilchan,Αχμέτ Ιλχάν,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Rodopi,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ACHMET_ILCHAN_1943252_2021.pdf
Achtsioglou Eutuxia (Efi),Ατσιόγλου Ευτυχία (Έφη),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/ACHTSIOGLOY_EYTYCHIA_2148063_2021.pdf
Vagena Anna,Βαγενά Άννα,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Larisa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BAGENA_ANNA_2041038_2021.pdf
Vagenas Dimitrios,Βαγενάς Δημήτριος,Member of Greek Parliament,Greek Solution,Greek Solution,Ελληνική Λύση,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BAGENAS_DIMITR_2158158_2021.pdf
Vagionaki Evaggelia (Valia),Βαγιωνάκη Ευαγγελία ( Βάλια),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Chania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BAGIONAKI_EYAGGELIA_2199854_2021.pdf
Vagionas Georgios (Giorgos),Βαγιωνάς Γεώργιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Chalkidiki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BAGIONAS_GEORG_2009983_2021.pdf
Vaki Foteini,Βάκη Φωτεινή,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Kerkira (Corfu),https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BAKI_FOTEINI_1993879_2021.pdf
Varvitsiotis Miltiadis,Βαρβιτσιώτης Μιλτιάδης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B' Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BARBITSIOTIS_MILTIADIS_2180648_2021.pdf
Vardakis Sokrates,Βαρδάκης Σωκράτης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Iraklion,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BARDAKIS_SOKRATIS_2134686_2021.pdf
Vardalis Athanasios (Sakis),Βαρδαλής Αθανάσιος ( Σάκης),Member of Greek Parliament,Greek Communist Party,Greek Communist Party,ΚΚΕ,Β' Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BARDALIS_ATHANASIOS_2062187_2021.pdf
Varemenos Georgios (Giorgos),Βαρεμένος Γεώργιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Aitolia and Akarnania,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BAREMENOS_GEORGIOS_2146471_2021.pdf
Vartzopoulos Dimitrios (Dimitris),Βαρτζόπουλος Δημήτριος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/BARTZOPOYLOS_DIMITRIOS_2201451_2021.pdf
